f_Hz   Yqq   Yqd   Ydq   Ydd
40.0   (0.04710636282417077+0.022883775638610666j)   (0.0022405951472776486+0.009620848678699077j)   (-0.026420546670574332-0.013453631127438003j)   (0.015511777295843006+0.015372279241357244j)
41.0   (0.04606792370772877+0.02165744107762741j)   (0.00370393639717122+0.009592380543233308j)   (-0.028957780733847926-0.01103812486411746j)   (0.015688236667275285+0.01523214851344763j)
43.0   (0.04390197811428034+0.0192345961182307j)   (0.005353531698132845+0.008347899122290036j)   (-0.030978079511776776-0.0042296084972098585j)   (0.015901000842459396+0.013983972076289649j)
44.0   (0.042667318947110934+0.018890682898877527j)   (0.005578251581037783+0.007652304443548984j)   (-0.030613614023376697-0.00026285528416135893j)   (0.01589967349760295+0.013148596762293715j)
46.0   (0.0402981223353317+0.01996959900243572j)   (0.0063141482845415955+0.00545947461674109j)   (-0.028463348296317914+0.007390643615206967j)   (0.01430732042867404+0.013719996194687884j)
47.0   (0.03976770528988755+0.02148984501225793j)   (0.00570494792502204+0.004428235154315786j)   (-0.026310468127706824+0.010915182307914195j)   (0.013341434944424017+0.014521699848735218j)
49.0   (0.038407394855286825+0.02943282661557934j)   (-0.0007148945233140418+0.0025767199604194665j)   (-0.01530889855444321+0.01583748278283433j)   (0.011220489753918969+0.022070830781655608j)
51.0   (0.039031054702361914+0.013146322473271476j)   (0.018200909912623957+0.0007378781101930565j)   (-0.02969188239274309+0.019005046244249695j)   (0.010377475874241086+0.005716108060034329j)
52.0   (0.03946841648900917+0.018675713368211073j)   (0.013385727239794379-4.422116109464942e-05j)   (-0.0220838555450614+0.019843734451590104j)   (0.010063805698309353+0.012224589703580958j)
54.0   (0.04187552279641544+0.022958834765931302j)   (0.01058696054097165-0.0013506051991949344j)   (-0.014721548793528683+0.021196708142387388j)   (0.009902578876611185+0.018346195621720067j)
56.0   (0.04471864553819252+0.02554556065629381j)   (0.008820495999120556-0.0026133678098623635j)   (-0.009843423021526536+0.020883292932389188j)   (0.011322204465317193+0.022826130931973228j)
58.0   (0.04779207919349211+0.027047323079925318j)   (0.007070592350392212-0.002868405890348675j)   (-0.006134570122561156+0.01957011740995841j)   (0.012955730365586575+0.02634782877466308j)
60.0   (0.051346798990369646+0.028095998604800353j)   (0.006918176984812386-0.0027024592527195666j)   (-0.0034644705572604087+0.017769514648362628j)   (0.015839709791774507+0.03046872648783507j)
62.0   (0.054533592958105524+0.026967501426938174j)   (0.004867768448737239-0.0029065309133555935j)   (-0.0005377558241906438+0.015534702316228553j)   (0.019031211194988053+0.03217884305074166j)
64.0   (0.057802023941250225+0.026015973283060625j)   (0.004045994398370823-0.002840812797082841j)   (0.0007820080460655855+0.013502512614157525j)   (0.023001424594533384+0.034313112852234665j)
67.0   (0.06204173426144299+0.0231383192549742j)   (0.003026295870384608-0.001929826470064479j)   (0.0017368597771757397+0.010125219675031967j)   (0.028595857910300938+0.03537517154420098j)
69.0   (0.06481972736844907+0.020742782591010322j)   (0.003061632406949022-0.001496312569837783j)   (0.001610718366578437+0.008622778078094232j)   (0.032891198904334666+0.035875307487928276j)
72.0   (0.06728742637029965+0.01651760538291551j)   (0.0033652783916747146-0.001024279870833128j)   (-5.315644144076569e-06+0.006393695338227181j)   (0.038918406404430395+0.034847930383682904j)
74.0   (0.06859494463488384+0.01372412923919769j)   (0.004323504280780894-0.0015989318365978904j)   (-0.0008074736869487442+0.005606506681778763j)   (0.04338093503789026+0.03297849508709643j)
77.0   (0.07004388644566359+0.00997052752904571j)   (0.0050454254252298054-0.0023059459336874275j)   (-0.002265408262131612+0.0060008746511012265j)   (0.04865303657519445+0.029633263621238297j)
79.0   (0.07106224375297036+0.006940553771960489j)   (0.004980864994228722-0.0029675990476732477j)   (-0.0030066409142909772+0.006039761302382476j)   (0.05104769024798211+0.027337369262109897j)
82.0   (0.0713127364133263+0.002134587537916256j)   (0.00533487952444383-0.003759854366429569j)   (-0.003979059932925462+0.00665481278592851j)   (0.05406347769763292+0.023203289196684792j)
85.0   (0.07105098609598148-0.002340914808978526j)   (0.005766601504824626-0.004286273509444332j)   (-0.004379404898249241+0.007615110486451516j)   (0.05584902533911054+0.018494338394098815j)
88.0   (0.07036843718790328-0.0059463501337289j)   (0.006087292829323074-0.005317929033666476j)   (-0.004414671107739689+0.009497126072952186j)   (0.0568565819318718+0.01384964993594479j)
91.0   (0.06868369828871068-0.008962389989293733j)   (0.005410166456375296-0.006897455767360507j)   (-0.003989701991729634+0.011625292058869337j)   (0.05608509866856866+0.009945287976618521j)
94.0   (0.06716197177113375-0.011196375992517282j)   (0.004422706720931707-0.008166907665691834j)   (-0.0019314209003971495+0.013200131023773256j)   (0.05489949303733558+0.007421563795975209j)
98.0   (0.065407588673109-0.013008196880723952j)   (0.0024937996200733135-0.009426612619463261j)   (0.0020785502037032676+0.01342916631195665j)   (0.053939192491037784+0.006314897667999025j)
101.0   (0.06514826401760453-0.01465131626310586j)   (0.0005768624044017434-0.009564023741050717j)   (0.004469300041454251+0.012403157621973438j)   (0.05453826481950963+0.006187154312313819j)
105.0   (0.06490007855479239-0.017307874259057773j)   (-0.0012037127672239517-0.009374662211116566j)   (0.006137109818066584+0.00992675810709263j)   (0.057348174250233565+0.003915345638728778j)
109.0   (0.06424498005549965-0.020731203514571684j)   (-0.0022458831160465727-0.008125922939871803j)   (0.006971048768015073+0.007745312881081978j)   (0.05922727655036439+0.0008394694657140212j)
112.0   (0.06319011620720755-0.023386732056056757j)   (-0.0028511850935812083-0.006953679758622333j)   (0.007080708634186329+0.00645198182238219j)   (0.05997183057359154-0.002129309994739387j)
