f_Hz   Yqq   Yqd   Ydq   Ydd
148.0   (0.0038649896430580154-0.06921807835635861j)   (0.02330681704066038+0.002157132709138853j)   (-0.02336629022098396-0.0021689780019720295j)   (0.0038612109156142193-0.06920050753861183j)
154.0   (0.0036674753463184105-0.0658463906995889j)   (0.021333758571665914+0.0019771257908249157j)   (-0.021274170977420338-0.0020208000626007667j)   (0.0036531411476907025-0.06587088859130741j)
159.0   (0.003497369486417276-0.06335197853639962j)   (0.019869492806102465+0.00184863656083056j)   (-0.019894361429050496-0.0018284355916276735j)   (0.00350396269459519-0.06334140311700945j)
165.0   (0.003340644960573998-0.06057197216950984j)   (0.01828004326156986+0.0016847562920322772j)   (-0.0183141449492403-0.0016934408325782468j)   (0.0033370308275247045-0.060557844370391155j)
170.0   (0.003227349834466458-0.05843725361132565j)   (0.01713219868989188+0.0015951837502388767j)   (-0.017136190336753097-0.0016004165179803766j)   (0.0032261281614116843-0.058439747490300474j)
176.0   (0.0030998995324376735-0.056088427784614155j)   (0.015871099868793884+0.001483240520563543j)   (-0.015877737901898867-0.0014749266711495794j)   (0.003103248184204227-0.056088796787836966j)
183.0   (0.0029749025250905736-0.0536009375630071j)   (0.01461263166748145+0.0013506078369148887j)   (-0.014593638274706257-0.0013578811701499668j)   (0.002971661419694798-0.05360309089015173j)
189.0   (0.0028841990897833128-0.051634386623090806j)   (0.013624966159481786+0.0012741302549645508j)   (-0.013591027183227569-0.001284041885954865j)   (0.002880928350045245-0.05164035578388048j)
196.0   (0.002779928585858444-0.04952953245069285j)   (0.01262187628719025+0.0012022952301999844j)   (-0.01259738683211471-0.0011695997373562727j)   (0.0027879063853638833-0.049539177467374136j)
203.0   (0.002701104164899329-0.04760555945367721j)   (0.011711443511255084+0.0010857595247213544j)   (-0.011690539992314434-0.0011069051775931399j)   (0.002694795062674835-0.047607864188361264j)
210.0   (0.002623349915490953-0.045818044587095694j)   (0.01087183380844534+0.001050326330186021j)   (-0.010874710203100242-0.0010364325615656593j)   (0.0026267995378130063-0.045819218078879995j)
217.0   (0.002561860429446472-0.04418213920278497j)   (0.010155618993283896+0.0009908890878625937j)   (-0.010159988276079135-0.0009939184088958782j)   (0.0025604859955161174-0.04417917715828724j)
225.0   (0.0024996219572645745-0.04244148672935149j)   (0.009389046542270523+0.0009219189238867277j)   (-0.00939133986980326-0.0009521924811616969j)   (0.0024927326977286744-0.042438039507614135j)
233.0   (0.0024374691170477507-0.04084117021833236j)   (0.008751850935315898+0.0008674929284965834j)   (-0.008734649612469171-0.0008832671763417124j)   (0.002433179362681036-0.04084347205451238j)
