f_Hz   Yqq   Yqd   Ydq   Ydd
62.0   (2.0408488054495393e-05+4.709105326729321e-05j)   (6.21196463211025e-05+8.931475991669661e-06j)   (-6.454882135171698e-05-2.447887286013136e-05j)   (5.183726702554505e-07+9.764667489760631e-05j)
64.0   (2.16594488778521e-05+4.821527379370529e-05j)   (6.418968046380529e-05+6.745492962805675e-06j)   (-6.684827269001119e-05-2.199943294675032e-05j)   (1.6397756232699485e-06+9.723843197939832e-05j)
66.0   (2.2838890092024697e-05+4.925531980109092e-05j)   (6.608843729228217e-05+4.417968594595726e-06j)   (-6.897931820914339e-05-1.9381964849424846e-05j)   (2.659087224011603e-06+9.691013319124124e-05j)
68.0   (2.3941530020758497e-05+5.022386095224732e-05j)   (6.780943753587926e-05+1.96704968818956e-06j)   (-7.093656355633388e-05-1.6639462506625955e-05j)   (3.5827823918616476e-06+9.666647590682606e-05j)
70.0   (2.4963344381537835e-05+5.113373260925741e-05j)   (6.935110175478765e-05-5.893594680653445e-07j)   (-7.27155310434632e-05-1.3784618717512458e-05j)   (4.418849664449295e-06+9.651221771463274e-05j)
72.0   (2.59015567144669e-05+5.199780823481978e-05j)   (7.071204505138445e-05-3.240503325511501e-06j)   (-7.431254621290046e-05-1.0829767712758198e-05j)   (5.177894320516413e-06+9.64525701101564e-05j)
74.0   (2.6754591282881217e-05+5.28288734561039e-05j)   (7.186791533736731e-05-5.989279208635927e-06j)   (-7.572463180108623e-05-7.786837284332029e-06j)   (5.865380143656678e-06+9.648316403099936e-05j)
77.0   (2.7872525550224833e-05+5.403811592997974e-05j)   (7.323710960164139e-05-1.0231708228498826e-05j)   (-7.74933550310138e-05-3.0818990806846446e-06j)   (6.786931464215073e-06+9.672697503631843e-05j)
79.0   (2.851252179087886e-05+5.484082812582485e-05j)   (7.38918889631265e-05-1.3118706435747223e-05j)   (-7.843399882355769e-05+1.323018900551032e-07j)   (7.34811788046565e-06+9.702584210397988e-05j)
82.0   (2.931878158316047e-05+5.606988798890913e-05j)   (7.446898424168103e-05-1.748751447445851e-05j)   (-7.94829168620008e-05+5.045070702970931e-06j)   (8.147751813040549e-06+9.769700989749767e-05j)
84.0   (2.9754371323700625e-05+5.6918172022134153e-05j)   (7.456066544080988e-05-2.0390844782119105e-05j)   (-7.994282755651401e-05+8.369445991480675e-06j)   (8.67402511502964e-06+9.830975259549627e-05j)
87.0   (3.0255268509089184e-05+5.8261255139193115e-05j)   (7.425722735886809e-05-2.4660861964903745e-05j)   (-8.027099360428667e-05+1.3415257085177197e-05j)   (9.536688046269483e-06+9.951310203052808e-05j)
90.0   (3.056877689671346e-05+5.97448539087954e-05j)   (7.33349458947876e-05-2.8624154782690817e-05j)   (-8.013860696151224e-05+1.852820512841958e-05j)   (1.0658862114007868e-05+0.0001011218466302536j)
93.0   (3.062401692645824e-05+6.14311523982982e-05j)   (7.165731666859371e-05-3.182673144035247e-05j)   (-7.951143219786761e-05+2.3762453390513034e-05j)   (1.2473423693766706e-05+0.00010328156933582438j)
96.0   (3.0222802125845505e-05+6.368168521846112e-05j)   (6.926298191078108e-05-3.2528236550979425e-05j)   (-7.805630804229e-05+2.931793389369816e-05j)   (1.671789930127367e-05+0.00010598895809981117j)
99.0   (3.011150042747826e-05+6.915521071708832e-05j)   (7.5398177820523e-05-2.3833610102719722e-05j)   (-7.313262262534319e-05+3.442577215586508e-05j)   (3.033876013600458e-05+9.995882657030624e-05j)
102.0   (3.592261235353339e-05+6.89055652193908e-05j)   (8.564170605700244e-05-4.923248018752359e-05j)   (-7.372509198312002e-05+3.346259119155647e-05j)   (9.685009057761224e-06+8.961439637731747e-05j)
105.0   (3.519185131994192e-05+6.934914687596633e-05j)   (7.516069669626506e-05-5.606325314867641e-05j)   (-7.343139600308317e-05+3.890382628450618e-05j)   (7.496877834080945e-06+9.986746494671585e-05j)
108.0   (3.5091255193830294e-05+7.130378228268196e-05j)   (6.971581366614067e-05-5.954547840242954e-05j)   (-7.144846936922553e-05+4.355728874191508e-05j)   (8.58494268815583e-06+0.00010494188796923176j)
112.0   (3.5518122579068885e-05+7.444556926145487e-05j)   (6.40770379624618e-05-6.374134107118829e-05j)   (-6.802439804998856e-05+4.897256104838077e-05j)   (1.0307364197033488e-05+0.00010986320211146945j)
115.0   (3.6112343222535316e-05+7.700471936465954e-05j)   (6.009104769947303e-05-6.663719682898645e-05j)   (-6.509069976447415e-05+5.258969363947176e-05j)   (1.1713236063881395e-05+0.00011316558509952445j)
119.0   (3.7220980430332175e-05+8.058733379192309e-05j)   (5.4755384599726795e-05-7.009026567464475e-05j)   (-6.081871801726271e-05+5.687192946734066e-05j)   (1.3814037831629378e-05+0.00011742055759003733j)
123.0   (3.8690655850090705e-05+8.430324522689314e-05j)   (4.9311070567262065e-05-7.299930722214406e-05j)   (-5.622296102125369e-05+6.054539679464142e-05j)   (1.6245774449757756e-05+0.00012160658294316606j)
127.0   (4.05282252365439e-05+8.808470815190088e-05j)   (4.3775690256625065e-05-7.532485805364681e-05j)   (-5.139727378369299e-05+6.361155384732287e-05j)   (1.9049281565227907e-05+0.00012572866249650872j)
131.0   (4.273597562707986e-05+9.186587886468127e-05j)   (3.820558985439057e-05-7.705455402796046e-05j)   (-4.643051969744351e-05+6.607700361913431e-05j)   (2.2238817496715246e-05+0.0001297512220044073j)
135.0   (4.5306843251038274e-05+9.55836248698338e-05j)   (3.266958635434946e-05-7.819773603188503e-05j)   (-4.1406145547438335e-05+6.795804189240545e-05j)   (2.5808331702961665e-05+0.00013362403069686144j)
139.0   (4.822365258305711e-05+9.917957762216423e-05j)   (2.7234949799048625e-05-7.878088032010148e-05j)   (-3.640044849261687e-05+6.928124017705765e-05j)   (2.973780087090745e-05+0.00013729740802358346j)
143.0   (5.146010623450442e-05+0.0001026020809343236j)   (2.1963522212401027e-05-7.88429428687735e-05j)   (-3.148090363874678e-05+7.008231954355871e-05j)   (3.399248228039413e-05+0.0001407226302069149j)
148.0   (5.59030580050085e-05+0.00010656991668653021j)   (1.5684048541803777e-05-7.825961562940266e-05j)   (-2.554021073611692e-05+7.041560145507114e-05j)   (3.9707241663990934e-05+0.00014459710665054392j)
153.0   (6.071702448954055e-05+0.0001101359663449192j)   (9.825586294380827e-06-7.704449861324464e-05j)   (-1.990999246588334e-05+7.009433677461398e-05j)   (4.577251373871541e-05+0.0001479668984657314j)
157.0   (6.477910217039591e-05+0.0001126676523483816j)   (5.472435650050507e-06-7.568691289338834e-05j)   (-1.567513307412567e-05+6.943354574183669e-05j)   (5.0815065152888944e-05+0.00015027857623575976j)
162.0   (7.0050693467133e-05+0.0001154104054304379j)   (4.808244567119193e-07-7.360128317691025e-05j)   (-1.0753214897842114e-05+6.818656776338528e-05j)   (5.7277455238292505e-05+0.00015267364726424077j)
168.0   (7.655759058283592e-05+0.00011807630564188628j)   (-4.836419630615657e-06-7.066302771573647e-05j)   (-5.417936289301029e-06+6.619761416183225e-05j)   (6.514808627849213e-05+0.00015482503083346006j)
173.0   (8.204625052062546e-05+0.00011978620245500709j)   (-8.716086065957403e-06-6.795871166908681e-05j)   (-1.4529384205066266e-06+6.423190892820648e-05j)   (7.171349074019949e-05+0.00015604208107611404j)
178.0   (8.752756522286388e-05+0.00012105070999198587j)   (-1.2116183803159725e-05-6.51086014828847e-05j)   (2.0831073804204867e-06+6.206848444888956e-05j)   (7.821023750512238e-05+0.00015676778058917786j)
184.0   (9.402362641983915e-05+0.00012202250868686168j)   (-1.5601240047383828e-05-6.158896702476081e-05j)   (5.790578220109845e-06+5.9302156722659606e-05j)   (8.584277342753776e-05+0.00015704330291872105j)
190.0   (0.00010036338539730896+0.00012245302722421988j)   (-1.850131074772148e-05-5.803458629311458e-05j)   (8.955750496562963e-06+5.6437537326055295e-05j)   (9.323163215116292e-05+0.00015674454030312597j)
196.0   (0.00010649372457209676+0.0001224041239910041j)   (-2.087039266861717e-05-5.453592859473223e-05j)   (1.1630475049647794e-05+5.3547434045467646e-05j)   (0.00010033350068710651+0.00015594484889757597j)
202.0   (0.00011237775408635578+0.00012193781917945078j)   (-2.2801036095638865e-05-5.115435390926095e-05j)   (1.3868773593614735e-05+5.0686828925028995e-05j)   (0.00010712874516900022+0.00015469482618525243j)
209.0   (0.00011890072346991472+0.00012094554741367441j)   (-2.4524637332932067e-05-4.734360886257257e-05j)   (1.5999476294049133e-05+4.743921495627638e-05j)   (0.0001145416931075956+0.00015280031133800345j)
215.0   (0.00012418499329520043+0.00011977263976705661j)   (-2.5654734737523893e-05-4.425762903567158e-05j)   (1.7469965396455006e-05+4.476364142523591e-05j)   (0.00012053802704445361+0.00015085742346466233j)
222.0   (0.00012998754008748456+0.000118096768878657j)   (-2.6619136010858172e-05-4.0872431703720126e-05j)   (1.8833858063525497e-05+4.179195595084503e-05j)   (0.00012709340308159723+0.00014829728540178503j)
229.0   (0.00013540530280244494+0.00011615500437500587j)   (-2.7272629125942513e-05-3.771894361357859e-05j)   (1.9880290824478e-05+3.8994826935922807e-05j)   (0.00013318717571371132+0.00014549122568020822j)
236.0   (0.00014045005362404924+0.00011400421152724612j)   (-2.767018935729654e-05-3.480070633256467e-05j)   (2.066293090951299e-05+3.637830661746463e-05j)   (0.0001388372287337081+0.00014249844276347453j)
244.0   (0.00014578135283890297+0.00011135328241751388j)   (-2.7881888620914404e-05-3.174063072383424e-05j)   (2.129505721643123e-05+3.360704171639418e-05j)   (0.00014478414453078913+0.0001389168387437302j)
252.0   (0.0001506780244860835+0.0001085531651794018j)   (-2.7884178606759234e-05-2.8961314555348538e-05j)   (2.1702307231338304e-05+3.1061498003051794e-05j)   (0.0001502212313234937+0.0001352197949850436j)
